pid,fid12,cfps2012_age,cfps2012_gender,qe104,qq301,qz202,sw1r,kr1ckp4
110050102,110050,31,女,在婚（有配偶）,否,6,,不适用
110062102,110062,53,男,在婚（有配偶）,是,6,,不适用
110081101,110081,60,男,在婚（有配偶）,是,5,,不适用
110043102,110043,39,女,在婚（有配偶）,否,6,,不适用
110069102,110069,62,男,在婚（有配偶）,否,4,,不适用
110052431,110052,24,女,在婚（有配偶）,否,6,,不适用
110052102,110052,73,女,丧偶,否,5,,不适用
110051104,110051,25,女,在婚（有配偶）,否,7,,不适用
110081104,110081,83,女,丧偶,否,2,,不适用
110081102,110081,57,女,在婚（有配偶）,否,5,,不适用
110064101,110064,32,男,离婚,否,7,,不适用
110057101,110057,62,男,在婚（有配偶）,否,2,,不适用
110062101,110062,54,女,在婚（有配偶）,否,6,,不适用
110047101,110047,56,男,在婚（有配偶）,是,7,,不适用
110083103,110083,34,男,在婚（有配偶）,否,6,,不适用
120016431,120016,50,男,在婚（有配偶）,是,6,,不适用
120050101,120050,46,男,在婚（有配偶）,否,6,,不适用
120075101,120075,59,男,在婚（有配偶）,否,7,,不适用
120102431,120102,22,女,在婚（有配偶）,否,6,,不适用
120026102,120026,40,男,在婚（有配偶）,否,6,,不适用
120029101,120029,29,女,在婚（有配偶）,否,6,,不适用
120031102,120031,55,男,在婚（有配偶）,是,5,,不适用
120016432,120016,49,女,在婚（有配偶）,否,4,,不适用
120034101,120034,57,男,在婚（有配偶）,是,6,,不适用
120029102,120029,32,男,在婚（有配偶）,是,5,,不适用
120116103,120116,48,男,在婚（有配偶）,否,6,,不适用
120111101,120111,50,女,在婚（有配偶）,否,7,,不适用
120068101,120068,54,女,离婚,是,7,,不适用
120016101,120016,26,女,在婚（有配偶）,否,5,,不适用
120102103,120102,25,男,在婚（有配偶）,否,7,,不适用
120033101,120033,59,女,在婚（有配偶）,否,6,,不适用
130462104,130462,32,女,在婚（有配偶）,否,6,文盲/半文盲,不适用
120088101,120088,28,男,在婚（有配偶）,否,6,,不适用
120089102,120089,56,男,在婚（有配偶）,是,6,,不适用
120102102,120102,62,男,在婚（有配偶）,是,5,,不适用
120116102,120116,49,女,在婚（有配偶）,否,6,,不适用
120091101,120091,52,男,在婚（有配偶）,否,7,,不适用
120079431,120079,39,男,离婚,否,6,,不适用
120076103,120076,63,女,在婚（有配偶）,否,6,,不适用
120109101,120109,26,男,未婚,否,6,,不适用
120094103,120094,18,女,未婚,否,7,,不适用
120057102,120057,42,女,在婚（有配偶）,否,7,,不适用
120057101,120057,44,男,在婚（有配偶）,是,7,,不适用
120067101,120067,53,女,在婚（有配偶）,否,5,,不适用
120057103,120057,19,女,未婚,否,7,,不适用
120039101,120039,29,女,在婚（有配偶）,否,6,,不适用
120088102,120088,59,男,在婚（有配偶）,否,6,,不适用
120110102,120110,53,女,在婚（有配偶）,否,5,,不适用
120073102,120073,58,女,在婚（有配偶）,否,6,,不适用
721632431,721632,27,女,在婚（有配偶）,否,6,,不适用
120102101,120102,54,女,在婚（有配偶）,否,5,,不适用
120089101,120089,24,男,未婚,否,7,,不适用
120088104,120088,61,女,在婚（有配偶）,否,5,,不适用
120038102,120038,32,女,在婚（有配偶）,否,7,,不适用
120109103,120109,53,女,在婚（有配偶）,否,7,,不适用
120024104,120024,65,女,在婚（有配偶）,否,7,,不适用
120032101,120032,31,女,离婚,否,7,,不适用
120034104,120034,55,女,在婚（有配偶）,否,4,,不适用
120077101,120077,48,女,在婚（有配偶）,否,5,,不适用
120078103,120078,30,男,在婚（有配偶）,是,6,,不适用
411522101,411522,42,男,在婚（有配偶）,否,7,初中,不适用
120103101,120103,32,女,在婚（有配偶）,否,6,,不适用
120091103,120091,19,男,未婚,否,7,,不适用
120073101,120073,59,男,在婚（有配偶）,否,6,,不适用
120012101,120012,32,男,在婚（有配偶）,是,7,,不适用
120035102,120035,35,女,在婚（有配偶）,否,6,,不适用
120077103,120077,22,男,未婚,否,7,,不适用
120080101,120080,49,女,在婚（有配偶）,否,6,,不适用
120126101,120126,69,女,在婚（有配偶）,否,5,,不适用
120116101,120116,16,女,未婚,否,7,,初中
120001101,120001,33,女,在婚（有配偶）,否,6,,不适用
120088103,120088,27,女,在婚（有配偶）,否,7,,不适用
120090103,120090,22,女,未婚,否,6,,不适用
120078104,120078,30,女,在婚（有配偶）,否,7,,不适用
120111102,721632,27,男,在婚（有配偶）,否,7,,不适用
120080102,120080,47,男,在婚（有配偶）,否,6,,不适用
120026101,120026,40,女,在婚（有配偶）,否,7,,不适用
120093104,120093,66,女,在婚（有配偶）,否,5,,不适用
120078101,120078,69,男,在婚（有配偶）,是,5,,不适用
120024103,120024,64,男,在婚（有配偶）,否,7,,不适用
120007102,120007,35,女,在婚（有配偶）,否,7,,不适用
120076104,120076,33,男,在婚（有配偶）,否,7,,不适用
120094102,120094,63,女,在婚（有配偶）,否,6,,不适用
120094101,120094,66,男,在婚（有配偶）,是,6,,不适用
120080103,120080,25,女,未婚,否,7,,不适用
120078102,120078,69,女,在婚（有配偶）,否,4,,不适用
120050102,120050,41,女,在婚（有配偶）,否,7,,不适用
120110103,693086,29,男,在婚（有配偶）,否,7,,不适用
120039102,120039,30,男,在婚（有配偶）,否,6,,不适用
120093103,120093,65,男,在婚（有配偶）,是,6,,不适用
120036101,120036,72,男,在婚（有配偶）,否,4,,不适用
120067103,120067,17,男,未婚,否,6,,初中
620242107,620242,19,男,未婚,否,7,初中,不适用
120110101,120110,52,男,在婚（有配偶）,否,6,,不适用
120089103,120089,54,女,在婚（有配偶）,否,5,,不适用
120052102,120052,77,男,丧偶,否,4,,不适用
120034103,120034,24,女,未婚,否,7,,不适用
120038101,120038,33,男,在婚（有配偶）,否,7,,不适用
130110103,130110,39,男,离婚,否,7,高中/中专/技校/职高,不适用
120129102,120129,44,男,在婚（有配偶）,否,7,,不适用
120052104,120052,17,女,未婚,否,7,,初中
120065101,120065,76,女,在婚（有配偶）,否,5,,不适用
120103103,120103,34,男,在婚（有配偶）,否,7,,不适用
120052101,120052,39,女,在婚（有配偶）,否,7,,不适用
120110104,693086,26,女,在婚（有配偶）,否,7,,不适用
120113102,120113,57,女,在婚（有配偶）,否,6,,不适用
120103102,120103,60,男,在婚（有配偶）,否,5,,不适用
120032102,120032,36,男,离婚,否,6,,不适用
120093102,120093,38,女,在婚（有配偶）,否,6,,不适用
120039431,120039,52,女,丧偶,否,5,,不适用
120007101,120007,32,男,在婚（有配偶）,否,6,,不适用
120072101,120072,40,男,同居,否,6,,不适用
120036102,120036,69,女,在婚（有配偶）,否,4,,不适用
120031101,120031,54,女,在婚（有配偶）,否,5,,不适用
120129101,120129,43,女,在婚（有配偶）,否,7,,不适用
120065102,120065,79,男,在婚（有配偶）,否,5,,不适用
120079101,120079,61,男,在婚（有配偶）,否,5,,不适用
120052103,120052,39,男,在婚（有配偶）,是,7,,不适用
120076105,120076,34,女,在婚（有配偶）,否,7,,不适用
120004102,120004,65,女,在婚（有配偶）,否,6,,不适用
120129103,120129,19,女,未婚,否,7,,不适用
120004101,120004,66,男,在婚（有配偶）,否,5,,不适用
120113103,120113,21,男,未婚,否,7,,不适用
120012102,120012,31,女,在婚（有配偶）,否,4,,不适用
120079102,120079,64,女,在婚（有配偶）,否,4,,不适用
140556103,140556,21,男,未婚,否,7,不适用,不适用
120103104,120103,60,女,在婚（有配偶）,否,6,,不适用
120093101,120093,38,男,在婚（有配偶）,是,7,,不适用
120074101,120074,59,男,在婚（有配偶）,否,5,,不适用
120080104,120080,23,男,在婚（有配偶）,否,6,,不适用
120024101,221399,36,女,在婚（有配偶）,否,7,,不适用
120001102,120001,37,男,在婚（有配偶）,否,4,,不适用
120109102,120109,54,男,在婚（有配偶）,是,5,,不适用
120090104,120090,18,男,未婚,否,7,,不适用
120033103,120033,22,男,未婚,否,7,,不适用
120031103,120031,23,女,未婚,否,7,,不适用
120075102,120075,60,女,在婚（有配偶）,否,5,,不适用
120016102,120016,26,男,在婚（有配偶）,否,5,,不适用
120076101,120076,67,男,在婚（有配偶）,是,6,,不适用
120050103,120050,19,女,未婚,否,7,,不适用
120126102,120126,74,男,在婚（有配偶）,否,6,,不适用
120090102,120090,45,男,在婚（有配偶）,否,6,,不适用
120027101,120027,63,男,在婚（有配偶）,否,6,,不适用
120111103,120111,49,男,在婚（有配偶）,是,7,,不适用
120113101,120113,57,男,在婚（有配偶）,否,6,,不适用
120091102,120091,54,女,在婚（有配偶）,否,7,,不适用
120090101,120090,46,女,在婚（有配偶）,否,6,,不适用
120035101,120035,40,男,在婚（有配偶）,是,7,,不适用
120024102,221399,42,男,在婚（有配偶）,否,7,,不适用
120033102,120033,58,男,在婚（有配偶）,是,7,,不适用
120080431,120080,22,女,在婚（有配偶）,否,7,,不适用
120072102,120072,33,女,离婚,否,6,,不适用
120077102,120077,49,男,在婚（有配偶）,否,6,,不适用
120074102,120074,60,女,在婚（有配偶）,否,5,,不适用
120027102,120027,63,女,在婚（有配偶）,否,6,,不适用
120051102,120051,54,男,在婚（有配偶）,是,7,,不适用
120022104,120022,53,女,丧偶,否,6,,不适用
120063102,120063,34,女,在婚（有配偶）,否,7,,不适用
120087103,120087,55,女,在婚（有配偶）,否,6,,不适用
120104101,120104,58,男,丧偶,是,7,,不适用
120018101,120018,32,女,离婚,否,7,,不适用
120008101,120008,48,男,在婚（有配偶）,是,7,,不适用
410735105,410735,36,女,在婚（有配偶）,否,7,初中,不适用
120008102,120008,47,女,在婚（有配偶）,否,7,,不适用
410735104,410735,29,男,在婚（有配偶）,是,7,初中,不适用
120020103,120020,22,女,未婚,否,7,,不适用
120008103,120008,24,女,未婚,否,7,,不适用
120009104,120009,39,女,在婚（有配偶）,否,7,,不适用
120086101,120086,35,男,在婚（有配偶）,否,7,,不适用
120056103,120056,21,男,未婚,否,7,,不适用
